name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Leicester,1.0,0,0,14,0,0.5,265,0.01,0.22,0.21,3.11,11,4,0,2.4,14.4,2023-08-20T13:00:00Z,90,2,0,0,0,0,2,0,183289,1,0,4,9.0,0,-5671,5814,11485,45,False,0
John McGinn,MID,Arsenal,0.0,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,9,0,0,0,0,2,0,125410,0,0,4,0.0,0,-4104,4839,8943,40,True,0
Cheikhou Kouyaté,MID,Nott'm Forest,0.0,0,0,4,0,0.6,583,0.00,0.00,0.00,0.26,18,0,0,0.4,3.2,2023-08-19T16:30:00Z,2,14,0,0,0,0,2,0,12336,0,0,2,0.0,1,-2368,272,2640,55,True,0
Josh Dasilva,MID,Newcastle,0.5,0,0,18,0,10.6,83,0.06,0.06,0.00,3.08,14,3,0,3.6,25.2,2023-08-19T14:00:00Z,83,11,0,0,0,0,2,0,13514,1,1,3,0.0,1,-2409,492,2901,45,False,0
Takehiro Tomiyasu,DEF,Everton,7.0,0,3,32,1,19.8,14,0.09,0.92,0.83,0.80,12,0,1,9.1,44.6,2023-08-21T19:00:00Z,89,8,0,0,0,0,2,0,2052971,1,1,0,27.0,11,-87344,75089,162433,85,False,0
James Garner,MID,Wolves,3.5,1,0,18,0,29.1,570,0.32,0.34,0.02,0.33,20,0,0,7.3,25.0,2023-08-19T14:00:00Z,35,5,0,0,0,0,2,0,15866,0,4,1,19.0,4,4148,5957,1809,50,True,0
Adam Lallana,MID,Man Utd,4.0,0,0,28,1,0.0,101,0.00,0.00,0.00,0.46,13,0,0,1.9,19.2,2023-08-19T14:00:00Z,90,10,0,0,0,0,2,2,181430,1,3,0,0.0,6,7871,16379,8508,45,False,0
Eddie Nketiah,FWD,Everton,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,8,0,0,0,0,2,0,10849,0,1,0,0.0,0,-4225,819,5044,45,False,0
Charlie Goode,DEF,Man Utd,3.5,0,0,29,1,1.0,96,0.20,0.28,0.08,0.46,13,0,0,2.8,14.4,2023-08-19T14:00:00Z,90,10,0,0,0,0,2,0,26673,1,3,0,13.0,6,836,2488,1652,45,False,0
Shandon Baptiste,MID,Man Utd,0.0,0,0,0,0,0.0,94,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,10,0,0,0,0,2,0,201,0,3,0,0.0,0,-58,0,58,45,False,0
Billy Gilmour,MID,Fulham,0.0,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,20,0,0,0,0,2,0,3259,0,4,1,0.0,0,-2490,0,2490,55,False,0
Illan Meslier,GK,Aston Villa,-0.5,0,0,0,0,0.0,238,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,1,0,0,0,0,2,0,40486,0,1,0,0.0,0,-3056,731,3787,40,True,0
Ben Davies,DEF,Crystal Palace,0.0,0,0,0,0,0.0,432,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,15817,0,0,1,0.0,0,-8102,62,8164,55,False,0
Dominic Calvert-Lewin,FWD,Leeds,0.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,4036,0,1,3,0.0,0,-1674,110,1784,45,False,0
Jonathan Panzo,DEF,West Ham,0.0,0,0,0,0,0.0,389,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,4150,0,0,2,0.0,0,-1928,43,1971,45,False,0
James McArthur,MID,Fulham,1.5,0,0,-3,0,15.1,154,0.04,0.21,0.17,0.91,20,0,0,3.7,3.0,2023-08-19T14:00:00Z,56,20,0,0,0,0,2,0,194842,1,4,1,19.0,1,-29757,11160,40917,60,False,0
Conor Gallagher,MID,Fulham,2.5,0,0,21,0,0.0,148,0.00,0.00,0.00,2.06,20,1,0,3.8,38.4,2023-08-19T14:00:00Z,90,20,0,0,0,0,2,4,511977,1,4,1,0.0,3,-9098,19033,28131,45,False,0
Kepa Arrizabalaga,GK,Fulham,1.5,0,0,15,0,6.3,133,0.03,0.03,0.00,2.06,20,1,0,1.9,12.6,2023-08-19T14:00:00Z,90,20,0,0,0,0,2,0,9299,1,4,1,0.0,2,-1005,364,1369,50,False,0
Halil Dervişoğlu,FWD,Southampton,0.0,0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,7,0,0,0,0,2,0,3729,0,1,3,0.0,0,-3124,0,3124,60,True,0
Sergi Canós Tenés,DEF,Newcastle,4.5,0,1,32,0,14.8,82,0.10,0.28,0.18,3.00,14,3,1,8.4,38.4,2023-08-19T14:00:00Z,75,11,0,0,0,0,2,0,130520,1,1,3,31.0,6,33524,46499,12975,45,False,1
Joseph Hodge,MID,Wolves,0.5,0,0,5,0,18.0,566,0.17,0.22,0.05,2.27,20,4,0,3.5,4.8,2023-08-19T14:00:00Z,90,5,0,0,0,1,2,0,23879,1,4,1,12.0,-1,1713,4019,2306,50,True,0
N'Golo Kanté,MID,Fulham,1.5,0,0,12,0,22.7,134,0.17,0.17,0.00,1.88,20,1,0,3.2,9.2,2023-08-19T14:00:00Z,80,20,0,0,0,0,2,0,342451,1,4,1,0.0,1,-42168,5885,48053,65,False,1
Moussa Djenepo,MID,Crystal Palace,0.0,0,0,0,0,0.0,418,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,630,0,0,1,0.0,0,-310,0,310,45,False,0
Jackson Smith,GK,Wolves,3.0,0,0,19,0,11.8,557,0.50,0.55,0.05,0.33,20,0,1,6.7,34.4,2023-08-19T14:00:00Z,35,5,0,0,0,0,2,0,10889,0,4,1,21.0,5,-560,876,1436,55,True,1
Benjamin White,DEF,Everton,1.0,0,0,3,0,0.2,10,0.00,0.00,0.00,0.26,12,0,0,0.1,0.4,2023-08-21T19:00:00Z,1,8,0,0,0,0,2,0,9267,0,1,0,0.0,1,-1391,233,1624,45,False,0
Christian Saydee,FWD,West Ham,6.0,0,0,19,0,0.0,597,0.00,0.00,0.00,1.80,18,2,0,4.0,39.6,2023-08-19T16:30:00Z,90,18,0,0,0,0,2,5,2684767,1,0,2,0.0,2,96355,158228,61873,50,False,0
Anthony Gordon,MID,Leeds,4.0,0,0,13,0,33.7,195,0.49,0.70,0.21,0.85,19,2,0,5.9,8.4,2023-08-20T15:30:00Z,60,19,0,0,0,0,2,0,1974787,1,1,3,17.0,1,641361,663501,22140,56,False,0
