assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,232223,None,,0,0,-1,1,0.0,615,62,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Folarin,0.0,568,54,0,0,0,0.0,631,63,1,False,0.0,626,61,0,Transferred to Monaco,2023-08-31T08:55:15.272751Z,44,524,92,0,0,None,0,,232223.jpg,0.0,639,66,0,0,0,Balogun,0.2,329,50,False,None,0,0,u,1,3,0.0,598,61,0,10024,0,61991,181,0.0,0.0,Balogun,0
0,0,0,None,None,0,0,58822,None,,0,0,-1,1,0.0,471,172,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Cédric,0.0,411,142,0,0,0,0.0,497,173,2,False,0.0,491,174,0,,None,39,729,230,0,0,None,0,,58822.jpg,0.0,505,172,0,0,0,Alves Soares,0.4,251,99,False,None,0,0,a,1,3,0.0,441,159,0,34750,297,39833,802,0.0,0.0,Cédric,0
1,0,12,0,100,0,0.0,153256,None,,0,0,-1,1,0.5,451,221,None,,0,3,0.0,0.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,Mohamed,0.0,554,200,0,0.0,0,0.4,474,217,3,False,1.8,478,219,1,International Duty - Unknown return date,2023-12-30T22:30:09.113694Z,44,494,290,0,0,None,0,,153256.jpg,4.0,51,30,0,0,0.0,Elneny,0.1,448,147,False,None,0,0.0,i,1,3,2.0,423,209,4,12779,17,18368,252,0.0,0.9,M.Elneny,0
3,0,62,0,0,1,0.38,438098,5,,0,0,-1,1,63.6,275,151,None,,0,3,0.0,0.0,0,0.35,0.13,1.55,0.59,1.20,1.48,0.56,0.46,Fábio,0.0,742,322,2,0.76,1,21.9,320,145,4,False,79.4,336,145,236,Groin Injury - Expected back 20 Jan,2023-12-07T12:00:08.489004Z,54,125,79,0,0,4,0,,438098.jpg,2.6,211,95,1,0,0.0,Ferreira Vieira,0.1,437,143,False,None,2,0.76,i,1,3,77.0,211,117,21,11460,5,18409,68,0.0,3.9,Fábio Vieira,0
0,4,296,100,100,5,0.31,226597,None,,0,0,0,0,74.9,245,71,None,,1,2,4.0,4.0,1,0.34,0.02,1.46,0.09,1.12,14.79,0.91,0.07,Gabriel,3.5,64,14,17,1.05,1,51.0,161,40,5,False,322.2,88,30,1464,,2023-09-30T23:00:07.672676Z,50,194,22,0,0,None,0,,226597.jpg,3.2,121,31,0,0,0.0,dos Santos Magalhães,17.4,18,6,False,None,16,0.98,a,1,3,112.0,166,26,58,1398272,33431,2540215,22624,0.7,11.6,Gabriel,1
1,0,152,100,100,4,0.31,219847,None,,0,0,-4,4,222.0,90,68,None,,0,3,3.8,3.8,2,1.10,0.08,5.31,0.4,4.21,10.15,0.78,0.32,Kai,3.3,75,41,14,1.08,4,72.0,89,63,6,False,219.4,175,73,1168,,2023-12-23T20:00:08.458889Z,71,30,17,0,0,3,0,,219847.jpg,2.7,189,86,0,0,0.0,Havertz,1.6,150,49,False,None,13,1.0,a,1,3,278.0,64,39,52,87982,2597,390360,2118,0.5,7.3,Havertz,5
2,8,153,100,100,5,0.48,205651,None,,0,0,0,0,233.9,85,7,None,,1,4,4.8,4.8,1,1.43,0.14,6.18,0.6,4.75,9.10,0.88,0.46,Gabriel,4.3,39,7,11,1.06,3,95.0,45,11,8,False,216.6,179,18,934,,2023-10-24T23:30:07.618920Z,80,13,4,0,0,None,0,,205651.jpg,3.2,132,21,0,0,0.0,Fernando de Jesus,5.5,72,13,False,None,11,1.06,a,1,3,500.0,15,8,48,960285,16280,728311,33090,0.5,6.0,G.Jesus,4
0,0,66,100,100,1,0.23,85955,None,,0,0,-2,2,64.7,269,148,None,,0,3,0.5,0.5,0,0.30,0.07,0.39,0.09,0.09,4.68,1.1,0.02,Jorge Luiz,0.0,733,315,6,1.41,0,12.4,370,167,9,False,50.6,373,162,383,,2023-12-18T00:00:09.353001Z,53,131,82,0,0,None,0,,85955.jpg,1.4,372,166,0,0,0.0,Frello Filho,0.2,344,107,False,None,4,0.94,a,1,3,9.0,396,201,15,8954,48,18558,184,0.0,2.8,Jorginho,1
0,0,64,None,None,1,0.31,440854,None,,0,0,-2,2,12.6,393,143,None,,0,2,1.0,1.0,1,0.08,0.02,0.45,0.13,0.37,1.92,0.59,0.11,Jakub,0.5,329,111,6,1.85,0,8.4,402,144,10,False,52.0,372,143,292,,None,43,603,151,0,0,None,0,,440854.jpg,1.6,342,120,0,0,0.0,Kiwior,0.1,436,169,False,None,4,1.23,a,1,3,18.0,359,127,13,4804,108,9213,133,0.1,3.0,Kiwior,0
0,0,0,0,0,0,0,479683,None,,0,0,0,0,0.0,672,270,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Marcus,0.0,629,239,0,0,0,0.0,683,273,11,False,0.0,677,270,0,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,424,246,0,0,None,0,,479683.jpg,0.0,685,276,0,0,0,Oliveira Alencar,0.0,535,190,False,None,0,0,u,1,3,0.0,664,268,0,819,0,11720,11,0.0,0.0,Marquinhos,0
