total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,transfers_in,transfers_out,name,element,team,position,value,selected,was_home,xP,round,GW
5.5,0.62,0.12,78.75,0.38,0.75,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.0,25.63,8.63,42.62,7.7,0.88,0.25,0.88,1.5,2.62,231888.62,193254.75,Erling Haaland,0,Man City,FWD,147,62.5,0.5,0.0,37,37
6.88,0.12,1.12,90.0,0.25,1.25,0.0,0.0,0.0,0.0,0.25,0.0,0.88,0.0,33.95,69.38,19.75,12.31,1.0,1.12,1.38,4.25,6.75,178325.75,48456.5,Bruno Borges Fernandes,0,Man Utd,MID,104,48.0,0.5,0.0,37,37
26.12,0.38,0.62,343.75,2.25,2.5,0.0,0.0,0.0,0.0,0.5,0.0,3.75,0.0,103.0,16.06,37.25,15.62,3.75,4.75,29.88,8.0,34.62,1155210.0,752131.12,Gabriel Gabriel,0,Arsenal,DEF,73,45.4,0.5,0.0,37,37
3.0,0.12,0.0,78.38,0.5,0.62,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,11.25,13.09,20.0,4.4,1.0,0.62,1.0,1.88,3.5,145236.5,293273.38,Antoine Semenyo,0,Man City,MID,80,46.2,0.5,0.0,37,37
7.12,0.75,0.25,66.75,0.38,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,34.42,9.88,28.12,7.24,0.75,0.62,1.12,2.62,4.38,177555.0,117827.88,Morgan Gibbs-White,0,Nott'm Forest,MID,76,9.2,0.5,0.0,37,37
5.0,0.0,0.75,89.62,0.25,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,23.45,24.25,12.75,6.06,1.0,1.5,2.38,3.75,7.62,185544.62,106919.25,Jarrod Bowen,0,West Ham,FWD,78,17.5,0.5,0.0,37,37
3.0,0.0,0.0,75.38,0.62,0.5,0.0,0.0,0.0,0.0,0.12,0.0,0.25,0.0,13.45,19.96,4.12,3.75,0.88,1.88,2.75,3.75,8.38,38490.12,175397.25,Declan Rice,0,Arsenal,MID,72,23.3,0.5,0.0,37,37
22.62,2.75,0.12,410.25,1.25,6.25,0.0,0.0,0.12,0.0,0.88,0.0,2.75,0.0,127.42,47.81,146.25,32.11,4.62,4.62,10.5,11.62,26.75,1261592.62,811993.38,Igor Thiago Thiago,0,Brentford,FWD,72,30.2,0.5,0.0,37,37
5.88,0.25,0.25,84.0,0.38,0.88,0.0,0.0,0.0,0.0,0.38,0.0,0.75,0.0,29.28,22.34,9.62,6.12,0.88,2.12,3.0,7.38,12.5,74025.88,54876.25,Elliot Anderson,0,Nott'm Forest,MID,57,9.4,0.5,0.0,37,37
5.75,0.12,0.12,90.0,0.5,0.75,0.0,0.0,0.0,0.0,0.12,0.0,0.62,0.0,28.7,13.23,10.12,5.2,1.0,1.12,6.38,3.5,7.5,77180.25,151905.5,Marc Guéhi,0,Man City,DEF,51,32.6,0.5,0.0,37,37
