ID,Name,Full Name,Position,Team,Price,Selected %
1,Raya,David Raya Martín,GK,1,6.2,36.4
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,GK,1,4.0,0.4
3,Hein,Karl Hein,GK,1,4.0,0.2
4,Setford,Tommy Setford,GK,1,3.9,0.2
5,Gabriel,Gabriel dos Santos Magalhães,DEF,1,7.3,45.4
6,Saliba,William Saliba,DEF,1,6.3,17.1
7,Calafiori,Riccardo Calafiori,DEF,1,5.6,6.0
8,J.Timber,Jurriën Timber,DEF,1,6.0,15.2
9,Kiwior,Jakub Kiwior,DEF,1,5.4,0.0
10,Lewis-Skelly,Myles Lewis-Skelly,DEF,1,5.0,1.9
11,White,Benjamin White,DEF,1,5.1,0.5
12,Zinchenko,Oleksandr Zinchenko,DEF,16,4.9,0.2
13,Clarke,Brayden Clarke,DEF,1,3.7,0.5
14,Kacurri,Maldini Kacurri,DEF,1,3.9,0.1
15,Nichols,Josh Nichols,DEF,1,3.7,0.2
16,Saka,Bukayo Saka,MID,1,10.0,11.6
17,Ødegaard,Martin Ødegaard,MID,1,7.8,1.7
18,Madueke,Noni Madueke,MID,1,6.8,0.8
19,Martinelli,Gabriel Martinelli Silva,MID,1,6.8,0.9
20,Trossard,Leandro Trossard,MID,1,6.6,1.8
21,Rice,Declan Rice,MID,1,7.2,23.3
22,Merino,Mikel Merino Zazón,MID,1,5.3,0.7
23,Fábio Vieira,Fábio Ferreira Vieira,MID,1,5.4,0.0
24,Nørgaard,Christian Nørgaard,MID,1,5.1,0.1
25,Nwaneri,Ethan Nwaneri,MID,1,5.0,0.1
26,Zubimendi,Martín Zubimendi Ibáñez,MID,1,4.9,2.7
27,Nelson,Reiss Nelson,MID,5,4.8,0.1
28,Kabia,Ismeal Kabia,MID,1,4.5,0.1
29,Sambi,Albert Sambi Lokonga,MID,1,4.5,0.0
30,Havertz,Kai Havertz,FWD,1,7.3,0.7
31,G.Jesus,Gabriel Fernando de Jesus,FWD,1,6.4,0.4
32,Martinez,Emiliano Martínez Romero,GK,2,5.0,4.4
33,M.Bizot,Marco Bizot,GK,2,4.2,0.4
34,Gauci,Joe Gauci,GK,2,4.0,0.1
35,Marschall,Filip Marschall,GK,2,4.0,0.0
36,Cash,Matty Cash,DEF,2,4.6,7.4
37,Digne,Lucas Digne,DEF,2,4.5,1.5
38,Konsa,Ezri Konsa Ngoyo,DEF,2,4.4,7.0
39,Maatsen,Ian Maatsen,DEF,2,4.2,0.5
40,Mings,Tyrone Mings,DEF,2,4.3,0.6
41,Pau,Pau Torres,DEF,2,4.3,0.3
42,A.García,Andrés García,DEF,2,3.9,0.2
43,Alex Moreno,Álex Moreno Lopera,DEF,2,4.0,1.5
44,Bogarde,Lamare Bogarde,DEF,2,4.0,0.5
45,Sousa,Lino da Cruz Sousa,DEF,2,3.8,0.2
46,Yasin,Yasin Özcan,DEF,2,4.0,0.1
47,Rogers,Morgan Rogers,MID,2,7.3,20.2
48,Tielemans,Youri Tielemans,MID,2,5.9,0.7
49,Bailey,Leon Bailey,MID,2,5.5,0.1
50,Buendía,Emiliano Buendía Stati,MID,2,5.3,0.4
51,Iling Jr,Samuel Iling-Junior,MID,2,5.5,0.0
52,J.Ramsey,Jacob Ramsey,MID,15,5.3,0.3
53,Malen,Donyell Malen,MID,2,5.1,0.4
54,McGinn,John McGinn,MID,2,5.3,0.7
55,Barkley,Ross Barkley,MID,2,4.8,0.1
56,Barrenechea,Enzo Barrenechea,MID,2,5.0,0.0
57,Dobbin,Lewis Dobbin,MID,2,5.0,0.0
58,Kamara,Boubacar Kamara,MID,2,4.9,0.2
59,Onana,Amadou Onana,MID,2,4.8,0.6
60,Broggio,Ben Broggio,MID,2,4.4,0.2
61,Dendoncker,Leander Dendoncker,MID,2,4.5,0.1
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,MID,2,4.5,0.1
63,Young,Kadan Young,MID,2,4.3,0.5
64,Watkins,Ollie Watkins,FWD,2,8.7,13.0
65,Redmond,Zépiqueno Redmond,FWD,2,4.5,0.3
66,Neto,Norberto Murara Neto,GK,4,4.5,0.1
67,Petrović,Đorđe Petrović,GK,4,4.6,5.2
68,Dennis,Will Dennis,GK,4,4.0,0.7
69,McKenna,Callan McKenna,GK,4,3.9,0.2
70,Paulsen,Alex Paulsen,GK,4,4.0,0.1
71,Zabarnyi,Illia Zabarnyi,DEF,4,5.0,0.0
72,Senesi,Marcos Senesi Barón,DEF,4,5.2,22.0
73,Smith,Adam Smith,DEF,4,4.4,0.2
74,Truffert,Adrien Truffert,DEF,4,4.8,5.3
75,Akinmboni,Matai Akinmboni,DEF,4,3.8,0.2
76,Bevan,Owen Bevan,DEF,4,3.8,0.2
77,Hill,James Hill,DEF,4,4.2,7.4
78,J.Araujo,Julián Araujo Zúñiga,DEF,4,3.8,0.5
79,Mepham,Chris Mepham,DEF,4,4.0,0.1
80,Soler,Julio Soler Barreto,DEF,4,3.9,0.2
81,Kluivert,Justin Kluivert,MID,4,6.9,0.6
82,Semenyo,Antoine Semenyo,MID,13,8.0,46.2
83,O.Dango,Dango Ouattara,MID,5,5.6,1.6
84,Tavernier,Marcus Tavernier,MID,4,5.3,4.2
85,Adams,Tyler Adams,MID,4,4.9,0.3
86,Brooks,David Brooks,MID,4,5.0,0.2
87,Christie,Ryan Christie,MID,4,4.9,0.1
88,Cook,Lewis Cook,MID,4,4.9,0.0
89,Philip,Philip Billing,MID,4,4.9,0.0
