name	chance_of_playing_next_round	chance_of_playing_this_round	news
Folarin Balogun	0	0.0	Transferred to Monaco
Gabriel Fernando de Jesus	75	75.0	Knee injury - 75% chance of playing
Marcus Oliveira Alencar	0	0.0	Season long loan to FC Nantes
Thomas Partey	75	0.0	Lack of match fitness - 75% chance of playing
Nicolas Pépé	0	0.0	Permanent move to Trabzonspor
Rúnar Alex Rúnarsson	0	0.0	Contract terminated
Kieran Tierney	0	0.0	Season long loan to Real Sociedad
Takehiro Tomiyasu	25	75.0	Calf injury - 25% chance of playing
Granit Xhaka	0	0.0	Transferred to Bayer Leverkusen
Oleksandr Zinchenko	75	75.0	Calf injury - 75% chance of playing
Jurriën Timber	0	0.0	Knee injury - Unknown return date
Charles Sagoe	0	0.0	Season-long loan to Swansea City
Bradley Ibrahim	0	0.0	Permanent transfer to Hertha Berlin
Emiliano Buendía Stati	0	0.0	Knee injury - Expected back 01 Jun
Philippe Coutinho Correia	0	0.0	Joined Al-Duhail on loan for the rest of the season
Keinan Davis	0	0.0	Transferred to Udinese
Leander Dendoncker	0	0.0	Has joined Napoli on loan for the remainder of the season
Diego Carlos Santos Silva	0	0.0	Hamstring injury - Expected back 17 Mar
Jhon Durán	0	0.0	Hamstring injury - Unknown return date
Boubacar Kamara	0	0.0	Knee injury - Expected back 14 Sep
Ezri Konsa Ngoyo	0	0.0	Knee injury - Expected back 02 Mar
Tyrone Mings	0	0.0	Knee injury - Expected back 01 Jun
Jaden Philogene-Bidace	0	0.0	Transferred to Hull City
Morgan Sanson	0	0.0	Joined OGC Nice on a season-long loan
Viljami Sinisalo	0	0.0	Joined Exeter City on a season-long loan
Bertrand Traoré	0	0.0	Contract terminated
Wesley Moraes Ferreira da Silva	0	0.0	Permanent transfer to Stoke
Filip Marschall	0	0.0	Joined Milton Keynes Dons on a season-long loan
Oliwier Zych	0	0.0	On loan to Puszcza Niepolomice
Tommi O'Reilly	0		On loan to Real Unión until the end of the season
Jaidon Anthony	0	0.0	Season-long loan to Leeds United
Philip Billing	0	0.0	Suspended until 03 Mar
David Brooks	0	0.0	Joined Southampton on loan until the end of the season
Siriki Dembélé	0	0.0	Permanent Transfer to Birmingham
Ryan Fredericks	0	0.0	Calf injury - Unknown return date
James Hill	0	0.0	Ankle injury - Expected back 16 Mar
Gavin Kilkenny	0	0.0	Season-long loan to Fleetwood Town
Jamal Lowe	0	0.0	Season-long loan to  Swansea City
Emiliano Marcondes	0	0.0	On loan to Hibernian until the end of the season
Kieffer Moore	0	0.0	Season-long loan to Ipswich Town
Ben Pearson	0	0.0	Permanent transfer to Stoke City
Joe Rothwell	0	0.0	On loan to Southampton until the end of the season
Hamed Traorè	0	0.0	On loan to Napoli until the end of the season
Ben Greenwood	0	0.0	Season-long loan to Eastleigh
Max Aarons	0	0.0	Hamstring injury - Unknown return date
Tyler Adams	0	0.0	Hamstring injury - Expected back 02 Mar
Romain Faivre	75	0.0	Illness - 75% chance of playing
Mads Bech Sørensen	0	0.0	Transferred to Midtjylland
Mads Bidstrup	0	0.0	Transfer to Red Bull Salzburg on a permanent basis
Sergi Canós Tenés	0	0.0	Permanent transfer to Valencia
Matthew Cox	0	0.0	On loan to Bristol Rovers for the season
Josh Dasilva	0	0.0	Knee injury - Unknown return date
Halil Dervişoğlu	0	0.0	Transfer to Galatasaray on a permanent basis
Charlie Goode	0	0.0	On loan to Wigan Athletic until the end of the season
Rico Henry	0	0.0	Knee injury - Expected back 01 Jun
Aaron Hickey	0	0.0	Hamstring injury - Unknown return date
Bryan Mbeumo	0	0.0	Ankle injury - Expected back 09 Mar
Ethan Pinnock	0	100.0	Ankle injury - Expected back 30 Mar
Kevin Schade	0	0.0	Muscle injury - Unknown return date
Ryan Trevitt	0	0.0	Season long loan to Exeter
Michael Olakigbe	0	0.0	Joins Peterborough United on loan until the end of the season
Myles Peart-Harris	0	0.0	On loan to Portsmouth until the end of the season
Steven Alzate	0	0.0	Season long loan to Standard Liège
Yasin Ayari	0	0.0	Season-long loan to Coventry City
Aaron Connolly	0	0.0	Permanent move to Hull City
Mahmoud Dahoud	0	0.0	Joined Stuttgart on loan for the rest of the season
Julio Enciso	0	0.0	Knee injury - Expected back 24 Feb
João Pedro Junqueira de Jesus	0	0.0	Hamstring injury - Unknown return date
Michał Karbownik	0	0.0	Permanent transfer to Hertha BSC
Kacper Kozłowski	0	0.0	Joined vitesse on a season long loan
Solly March	0	0.0	Knee injury - Unknown return date
James Milner	0	0.0	Muscle injury - Unknown return date
Jeremy Sarmiento Morante	0	0.0	Joined West Bromwich Albion on a season-long loan
Kjell Scherpen	0	0.0	Joined Sturm Graz on a season-long loan
Deniz Undav	0	0.0	Season long loan to Stuttgart
Andi Zeqiri	0	0.0	Permanent transfer to Genk
Jack Hinshelwood	0	25.0	Foot injury - Unknown return date
Samuel Bastien	0	0.0	Has joined Kasimpasa S.K. on loan
Jordan Beyer	25	25.0	Knock - 25% chance of playing
Darko Churlinov	0	0.0	On loan to Schalke 04 until the end of the season
Dara Costelloe	0	0.0	Season long loan to St Johnstone
CJ Egan-Riley	0	0.0	Season-long loan to PSV Eindhoven
Lyle Foster	0	0.0	Muscle injury - Unknown return date
Denis Franchi	0	0.0	Permanent transfer to Ternana
Luke McNally	0	0.0	Season long loan to Stoke City
Michael Obafemi	0	0.0	Joined Millwall until the end of the season
Bailey Peacock-Farrell	0	0.0	Joined Aarhus on loan
Connor Roberts	0	0.0	Season-long loan to Leeds United
Bobby Thomas	0	0.0	Permanent transfer to Coventry
Scott Twine	0	0.0	Season long loan to Hull
Wout Weghorst	0	0.0	On loan to Hoffenheim
Anass Zaroury	0	0.0	Season-long loan to Hull City
Nathan Redmond	0	0.0	Leg injury - Expected back 01 Jul
Luca Koleosho	0	0.0	Knee injury - Expected back 19 May
Owen Dodgson	0	0.0	Season-long loan to Barnsley
Aaron Ramsey	0	100.0	Knee injury - Expected back 16 Nov
Ethan Ampadu	0	0.0	Permanent transfer to Leeds Utd
Andrey Nascimento dos Santos	0	0.0	Season-long loan to Strasbourg
Kepa Arrizabalaga	0	0.0	One year loan deal to Real Madrid
Pierre-Emerick Aubameyang	0	0.0	
César Azpilicueta	0	0.0	Left the club as a free agent
Abdul Rahman Baba	0	0.0	Permanent Transfer to PAOK
Benoît Badiashile	0	0.0	Muscle injury - Unknown return date
Carney Chukwuemeka	0	0.0	Ankle injury - Unknown return date
Marc Cucurella Saseta	0	0.0	Ankle injury - Expected back 09 Mar
Wesley Fofana	0	0.0	Knee injury - Unknown return date
Reece James	0	0.0	Hamstring injury - Unknown return date
Romelu Lukaku Bolingoli	0	0.0	Season-long loan to Roma
Christian Pulisic	0	0.0	Permanent transfer to AC Milan
Gabriel Słonina	0	0.0	Season long loan to KAS Eupen
Thiago Emiliano da Silva	0	0.0	Groin Injury - Unknown return date
Hakim Ziyech	0	0.0	Season long loan to Galatasaray
Ângelo Gabriel Borges Damaceno	0	0.0	Season long loan to Strasbourg until the end of the season
Ian Maatsen	0	0.0	On loan to Borussia Dortmund until the end of the season
Lesley Ugochukwu	0	0.0	Hamstring injury - Unknown return date
Mason Burstow	0	0.0	Season-long loan to Sunderland
Roméo Lavia	0	0.0	Thigh injury - Unknown return date
Bashir Humphreys	0	0.0	Season-long loan to Swansea City
Eddie Beach	0	0.0	On loan to National League side Gateshead until the end of the season
Alex Matos	0	0.0	On loan to Huddersfield Town until the end of the season
Rob Holding	0	0.0	Ankle injury - Unknown return date
Cheick Doucouré	0	0.0	Achilles injury - Expected back 19 May
Malcolm Ebiowei	0	0.0	Season-long loan to RWD Molenbeek
Eberechi Eze	0	0.0	Hamstring injury - Unknown return date
Vicente Guaita	0	0.0	Signed for Celta Vigo
Marc Guéhi	0	0.0	Knee injury - Unknown return date
Will Hughes	75	75.0	Knock - 75% chance of playing
Jake O'Brien	0	0.0	Permanent transfer to Lyon
Michael Olise	0	0.0	Hamstring injury - Unknown return date
Luke Plange	0	0.0	Half season loan to Carlisle United, expected back in January
Jesurun Rak-Sakyi	0	0.0	Hamstring injury - Unknown return date
John-Kymani Gordon	0	0.0	Season-long loan to Cambridge United
Ademola Ola-Adebomi	0	0.0	Joined Burton Albion until the end of the season
Tayo Adaramola	0	0.0	Joined Belgian club RWD Molenbeek on loan until the end of the season
André Tavares Gomes	0	0.0	Calf injury - Unknown return date
Dele Alli	0	0.0	Groin Injury - Unknown return date
Jean-Philippe Gbamin	0	0.0	Contract cancelled
Demarai Gray	0	0.0	Permanent transfer to Al-Ettifaq
Vitalii Mykolenko	75	100.0	Knock - 75% chance of playing
Ellis Simms	0	0.0	Transferred to Coventry City
Arnaut Danjuma Groeneveld	0	0.0	Ankle injury - Unknown return date
Thomas Cannon	0	0.0	Transferred to Leicester City
Elijah Campbell	0	0.0	Season-long loan to Fleetwood Town
Ivan Neves Abreu Cavaleiro	0	0.0	Permanent transfer to Lille
Tyrese Francois	0	0.0	Season-long loan to Vejle Boldklub
Anthony Knockaert	0	0.0	Season-long loan to Huddersfield Town
Terence Kongolo	0	0.0	Season-long loan to Rapid Vienna
Kevin Mbabu	0	0.0	Season-long loan to Augsburg
