Tue May 26 21:08:10 2026    profile.out

         136645942 function calls (132587538 primitive calls) in 284.660 seconds

   Ordered by: cumulative time
   List reduced from 7480 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1478/1    0.024    0.000  284.731  284.731 {built-in method builtins.exec}
        1    0.002    0.002  284.731  284.731 manager.py:1(<module>)
        1    0.055    0.055  282.103  282.103 manager.py:77(main)
       38    0.049    0.001  279.781    7.363 /Users/bentindal/Desktop/coding/FPL-Auto/fpl_auto/team.py:12(__init__)
       38    0.001    0.000  270.296    7.113 /Users/bentindal/Desktop/coding/FPL-Auto/fpl_auto/team.py:774(_get_n_gws_xp)
       35    0.126    0.004  270.294    7.723 /Users/bentindal/Desktop/coding/FPL-Auto/fpl_auto/data.py:715(discount_next_n_gws)
       35    0.923    0.026  267.801    7.651 /Users/bentindal/Desktop/coding/FPL-Auto/fpl_auto/data.py:442(post_model_weightings)
    19152    0.512    0.000  245.206    0.013 /Users/bentindal/Desktop/coding/FPL-Auto/fpl_auto/data.py:658(get_future_fixtures_for_player)
    19152    0.828    0.000  242.092    0.013 /Users/bentindal/Desktop/coding/FPL-Auto/fpl_auto/data.py:640(get_future_fixtures_for_team)
    19152    0.263    0.000  217.249    0.011 /Users/bentindal/Desktop/coding/FPL-Auto/fpl_auto/data.py:622(get_future_fixtures)
    19498    0.331    0.000  207.203    0.011 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/io/parsers/readers.py:848(read_csv)
    19498    0.462    0.000  206.607    0.011 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/io/parsers/readers.py:574(_read)
    19498    0.257    0.000  191.870    0.010 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/io/parsers/readers.py:1732(read)
    19498    0.405    0.000  158.924    0.008 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
    19498  152.247    0.008  153.795    0.008 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
    19638    0.246    0.000   32.244    0.002 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/frame.py:668(__init__)
    19498    0.401    0.000   31.514    0.002 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
   137395    0.801    0.000   26.519    0.000 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/frame.py:3856(__getitem__)
    19638    0.241    0.000   17.304    0.001 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
   187556    0.654    0.000   17.121    0.000 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/indexing.py:1139(__getitem__)
159931/140433    1.740    0.000   16.648    0.000 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/series.py:371(__init__)
    19498    0.194    0.000   13.739    0.001 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/io/parsers/readers.py:1403(__init__)
    19152    0.279    0.000   13.607    0.001 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/frame.py:1458(itertuples)
    19498    0.301    0.000   12.771    0.001 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/io/parsers/readers.py:1673(_make_engine)
    19638    0.107    0.000   12.610    0.001 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/internals/managers.py:2068(create_block_manager_from_column_arrays)
    59615    0.240    0.000   11.167    0.000 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/generic.py:4077(_take_with_is_copy)
    59615    0.435    0.000   10.395    0.000 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/generic.py:3962(take)
    38380    0.242    0.000   10.075    0.000 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/frame.py:3924(_getitem_bool_array)
    76836    0.157    0.000    9.706    0.000 /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/site-packages/pandas/core/ops/common.py:62(new_method)
    20452    0.037    0.000    9.246    0.000 {method 'extend' of 'list' objects}


